,count,count,count,count
category,Bulges,Loop,Mismatch,Tetrad
G4_id,,,,
1,6.0,71.25,106.0,16.6
37,2.0,3.33,1.0,7.32
65,2.29,12.25,2.0,7.27
66,0.0,1.88,0.0,2.75
26,2.25,11.5,0.0,2.38
3,2.0,2.88,1.0,2.32
4,0.0,3.55,0.0,2.31
27,1.67,2.0,0.0,1.33
24,1.75,1.75,0.0,1.33
64,1.5,1.21,0.0,1.31
51,2.25,1.36,0.0,1.31
5,0.0,1.2,2.0,1.29
62,1.29,1.07,0.0,1.25
61,1.75,1.3,0.0,1.25
13,1.0,0.86,0.0,1.25
28,1.25,1.35,0.0,1.19
44,1.0,0.9,1.0,1.17
60,0.0,0.87,2.0,1.13
23,0.0,2.0,0.0,1.08
49,1.4,0.9,0.0,1.08
40,0.86,1.5,0.0,1.08
52,1.2,1.15,0.0,1.06
9,1.07,1.59,0.0,1.06
45,1.08,1.25,0.0,1.05
33,1.33,1.18,0.0,1.0
50,1.0,0.92,0.0,1.0
67,0.0,0.94,0.0,1.0
25,1.0,1.32,0.0,1.0
8,0.0,1.16,0.0,1.0
29,1.33,1.36,0.0,0.94
48,0.0,0.9,0.0,0.94
2,0.78,1.5,3.0,0.93
7,1.0,1.0,0.0,0.92
46,1.0,0.93,0.0,0.92
43,0.86,0.72,0.0,0.92
41,0.58,0.67,0.0,0.92
63,0.83,1.44,0.0,0.88
54,0.88,1.31,0.0,0.88
42,0.8,1.08,0.0,0.83
35,0.8,0.9,0.0,0.83
15,0.8,0.93,0.0,0.81
32,1.5,1.17,0.0,0.8
38,1.1,0.88,2.0,0.8
53,1.6,1.33,0.0,0.75
18,1.1,1.36,0.0,0.75
47,0.93,1.13,0.0,0.75
31,0.0,1.06,0.0,0.75
10,2.0,1.75,0.0,0.75
56,1.25,1.05,0.0,0.75
19,1.0,1.33,0.0,0.75
30,0.0,1.36,0.5,0.71
20,1.0,1.2,0.0,0.69
21,1.29,1.32,0.0,0.69
22,0.8,1.0,0.0,0.69
6,1.75,1.0,0.0,0.69
57,0.86,0.91,3.0,0.67
58,1.3,1.36,0.0,0.67
12,0.83,0.62,0.0,0.67
36,0.75,1.1,0.0,0.67
39,0.94,1.2,0.0,0.67
17,1.14,1.0,0.0,0.67
55,0.73,1.08,0.0,0.62
14,1.0,1.33,0.0,0.58
59,0.0,1.0,1.0,0.55
11,1.0,0.8,2.0,0.53
34,0.0,1.58,0.0,0.5
16,0.0,1.11,0.0,0.42
